SampleID,Alias,BioProject,accession,biosample_accession,Cohort,,,,,
TT0067,#N/A,PRJNA590225,SRR12512369,SAMN15897883,Cross_sectional,,,,,
TT0069,#N/A,PRJNA590225,SRR12512368,SAMN15897884,Cross_sectional,,,,,
TTS1106,#N/A,PRJNA590225,SRR12512367,SAMN15897885,Cross_sectional,,,,,
TTS1108,#N/A,PRJNA590225,SRR12512366,SAMN15897886,Cross_sectional,,,,,
TTS1111,#N/A,PRJNA590225,SRR12512365,SAMN15897887,Cross_sectional,,,,,
TTS1115,#N/A,PRJNA590225,SRR12512364,SAMN15897888,Cross_sectional,,,,,
TTS1116,#N/A,PRJNA982297,SRR24889358,SAMN35699736,Cross_sectional,,,,,
TTS1118,#N/A,PRJNA590225,SRR12512363,SAMN15897889,Cross_sectional,,,,,
TTS1120,#N/A,PRJNA590225,SRR12512362,SAMN15897890,Cross_sectional,,,,,
TTS1122,#N/A,PRJNA590225,SRR12512360,SAMN15897891,Cross_sectional,,,,,
TTS1123,#N/A,PRJNA982297,SRR24889357,SAMN35699737,Cross_sectional,,,,,
TTS1131,#N/A,PRJNA590225,SRR12512359,SAMN15897892,Cross_sectional,,,,,
TTS1134,#N/A,PRJNA590225,SRR12512358,SAMN15897893,Cross_sectional,,,,,
