Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k141_1824594.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1825598.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1834693.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1835299.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_184343.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1843916.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1845056.concoct_part_0	Caudovirales	50	Unassigned	40
k141_1846933.concoct_part_0	Caudovirales	100	Siphoviridae	80
k141_1846933.concoct_part_1	Caudovirales	100	Siphoviridae	88.8888888888889
k141_1846933.concoct_part_2	Caudovirales	100	Siphoviridae	76.9230769230769
k141_1851217.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1851843.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1852398.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1853650.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1855228.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1858286.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1859996.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1862325.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1864216.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1866207.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1866647.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1869897.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1871180.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1877181.concoct_part_0	Caudovirales	100	Siphoviridae	77.7777777777778
k141_1878234.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_187852.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1880186.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1882002.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_188310.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1886506.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1887754.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1889167.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1891483.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1893158.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1898181.concoct_part_0	Caudovirales	50	Siphoviridae	77.7777777777778
k141_1898181.concoct_part_1	Caudovirales	100	Siphoviridae	100
k141_1899937.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1900843.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1902745.concoct_part_0	Caudovirales	100	Siphoviridae	50
k141_1902745.concoct_part_1	Caudovirales	100	Siphoviridae	100
k141_1902745.concoct_part_2	Caudovirales	100	Siphoviridae	71.4285714285714
k141_1904138.concoct_part_0	Caudovirales	100	Myoviridae	50
k141_1909783.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_1910332.concoct_part_0	Caudovirales	100	Siphoviridae	60
k141_1912417.concoct_part_0	Caudovirales	100	Siphoviridae	87.5
k141_1918966.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1919028.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1921599.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1922404.concoct_part_0	Caudovirales	50	Unassigned	NA
k141_1924765.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1930499.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1934589.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1937165.concoct_part_0	Caudovirales	100	Siphoviridae	88.8888888888889
k141_1938618.concoct_part_0	Caudovirales	100	Podoviridae	66.6666666666667
k141_1938785.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_194195.concoct_part_0	Caudovirales	100	Unassigned	NA
k141_194195.concoct_part_1	Caudovirales	100	Myoviridae	50
k141_1944464.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1946171.concoct_part_0	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1947327.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1949178.concoct_part_0	Caudovirales	100	Podoviridae	50
k141_1950969.concoct_part_0	Caudovirales	100	Myoviridae	100
k141_1951209.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1951464.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1951464.concoct_part_1	Caudovirales	100	Siphoviridae	100
k141_1951464.concoct_part_2	Caudovirales	100	Siphoviridae	100
k141_1951464.concoct_part_3	Caudovirales	100	Siphoviridae	100
k141_1951464.concoct_part_4	Caudovirales	100	Siphoviridae	66.6666666666667
k141_1951464.concoct_part_5	Caudovirales	100	Unassigned	NA
k141_1955119.concoct_part_0	Caudovirales	100	Podoviridae	100
k141_1955133.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1956652.concoct_part_0	Caudovirales	100	Siphoviridae	100
k141_1956866.concoct_part_0	Caudovirales	100	Siphoviridae	80
k141_1960112.concoct_part_0	Caudovirales	100	Unassigned	100
