,Aminoglycoside,Tetracycline ,Phenicol,Multidrug ,"Macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic",Nucleoside antibiotic,Peptide antibiotic,Nitroimidazole antibiotic,Fluoroquinolone,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Triclosan,Fosfomycin,Diaminopyrimidine,Sulfonamide antibiotic,Rifampicin,Mupirocin,Bicyclomycin,Acridine dye,Fusidic acid
TBS425,254.9826201,0,280.0180811,2017.058434,102.3259346,0,166.9951227,0,230.701236,0,45.09887629,0,383.8871395,47.27280803,0,0,0,0,94.93633218,0,0
TBS435,37.68507972,0,0,110.385883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS442,0,39.94670115,0,6.464544662,69.80939341,0,0,0,75.03315481,0,569.1088778,0,0,0,0,0,0,0,0,0,0
TBS461,0,0,0,0,0,0,0,0,15.93869747,0,0,0,0,0,0,0,0,0,0,0,0
TBS466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS467,0,291.1091375,0,198.2659148,10.91594918,0,348.4652283,0,5.073544946,0,0,0,0,0,0,0,0,0,0,0,0
TBS468,263.107855,0,332.5935485,1756.599168,122.2973984,0,72.01957957,0,0,0,37.08371307,0,182.0895701,19.77065784,0,0,0,0,69.17367306,0,0
TBS469,0,0,0,21.38707628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS479,0,207.2049267,0,0,158.2006556,0,0,0,141.4030006,0,0,0,0,0,0,0,0,0,0,0,0
TBS480,0,13.56776422,0,179.9559619,0,0,0,0,151.4614592,0,91.03368258,0,0,39.19687178,0,0,0,0,0,0,0
TBS488,0,0,0,312.7853442,6.546781207,0,0,0,0,0,4.919606148,0,0,0,0,0,0,0,0,0,0
TBS516,0,66.91274379,0,30.4988488,35.6283313,0,0,0,114.169458,0,2.40394587,3.312684678,0,0,0,0,0,0,0,0,0
TBS524,0,11.8094717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS587,0,66.13827964,0,24.97258194,66.07182912,0,0,0,10.33524631,0,0,0,0,0,0,0,0,0,0,0,0
TBS596,221.248209,0,137.2605256,2527.867881,104.2082148,0,155.07926,0,0,0,0,0,237.5409216,15.96467082,0,0,0,0,144.9223967,0,0
TBS656,0,0,0,37.30722284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS663,0,0,0,269.3054832,0,0,0,0,8.855318306,0,0,0,0,0,0,0,0,0,0,0,0
TBS664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS668,0,0,0,87.17138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBS670,0,0,0,39.34736406,210.712653,0,0,0,693.2675954,0,0,0,0,0,0,0,0,0,0,0,0
TBS671,0,0,0,0,0,0,0,0,34.70097787,0,0,0,0,0,0,0,0,0,0,0,0
TBS672,0,0,0,0,0,0,0,0,0,34.14500844,0,0,0,0,0,0,0,0,0,0,0
TH0007,0,16.14769899,0,131.5672308,0,0,52.33307203,0,0,0,0,0,11.008716,0,0,0,0,0,0,0,0
TH0008,0,0,0,264.2543248,0,0,72.79866126,0,0,0,23.18827187,0,0,0,0,0,0,0,0,0,0
TH0016,0,169.1248196,0,2.481881972,30.24074859,0,1.377445568,0,40.57988943,0,2.730892009,5.639473722,0,0,0,0,0,0,0,0,0
TH0017,111.8223076,0,188.8136528,2513.721691,120.0539539,0,147.5057826,0,54.60595795,0,99.97815486,0,292.789777,175.2096634,0,0,0,0,86.64254433,0,0
TH0019,0,0,0,0,12.17198114,0,0,0,182.0918978,0,0,0,0,0,0,0,0,0,0,0,0
TT0003,0,12.09645409,8.946109229,16.03417497,4.692670786,0,10.74065521,0,52.30641954,0,0,0,0,0,0,0,0,0,0,0,0
TT0005,18.68282704,0,0,587.8039089,26.10044247,68.05814509,0,0,17.89739275,0,45.81790779,0,0,32.87696814,0,0,0,0,0,0,0
TT0006,57.06578542,21.20824818,34.00570089,346.9262619,38.84248304,0,21.33373275,0,57.2210823,0,8.636151344,0,12.00020243,53.6249589,0,0,0,0,13.24192908,0,0
TT0009,236.5197089,0,322.7133956,2887.261677,120.4227352,0,227.4053167,0,0,0,82.21259413,0,426.4685885,53.71195466,0,0,0,0,120.66921,0,0
TT0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0011,40.27908099,49.54433605,42.31443269,44.3414475,17.45421422,4.505334537,0,0,2.339974787,0,0,0,0,0,0,0,0,0,0,0,0
TT0012,132.0891817,5.198792069,27.22530441,449.9017557,6.891273769,0,22.4897085,0,35.74216034,0,10.29127308,0,61.41123804,0,29.05172067,3.769057082,0,0,37.32564383,0,0
TT0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0016,0,6.100463411,0,33.15795468,1.941963408,0,0,0,9.183069554,0,0,0,0,0,0,0,0,0,0,0,0
TT0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0018,56.63405877,70.21809265,66.01114039,557.9147382,140.2488349,0,31.52970369,0,55.03712035,0,31.09724704,0.765204995,64.1352609,25.89062085,0,0,0,0,14.83117634,0,0
TT0019,0,83.62765913,0,14.95797207,3.353889411,0,0,0,60.42892092,0,0,0,0,0,0,0,0,0,0,0,0
